Id,Zip,Area
0,37013, Antioch, Cane Ridge
1,37027, Brentwood
2,37072, Goodletsville
3,37076, Hermitage
4,37080, Joelton
5,37115, Madison
6,37122, Mount Juliet
7,37138, Old Hickory
8,37189, Whites Creek
9,37201, Downtown Nashville
10,37203  Midtown
11,37204, 12 South, Berry Hill, Waverly
12,37205, Belle Meade
13,37206, East Nashville
14,37207, North Nashville / Dickerson Pike East Nashville Area
15,37208, Germantown
16,37209, West Nashville
17,37210, South Nashville / Sterling Heights / Woodbine / Spence Lane / Briley Parkway / Nolensville Rd - 440
18,37211, South Nashville
19,37212, Hillsboro Village
20,37213, Nashville
21,37214, Donelson
22,37215, Green Hills
23,37216, Inglewood
24,37217, Edge O Lake / Priest Lake
25,37218, Nashville
26,37219, Downtown Nashville
27,37220, Oak Hill
28,37221, Bellevue
29,37232, Nashville
30,37137, Nolensville
31,37138, Old Hickory
32,37072, Goodletsville
33,37064  Franklin
34,37075  Hendersonville
35,37167, Smyrna
36,37069, Franklin
37,37067, Franklin
37,37086, LaVergne
